Ritmo,danzabilidad
Atico,0.685
Bailecito,0.5433333333333333
Brincao,0.89
Cancion,0.518
Caporal,0.6856153846153846
Carnaval,0.614
Carnavalito,0.657
Chacarera,0.517
Chovena,0.787
Chovena mojeña,0.758
Chuntunqui,0.6191666666666666
"Contrapunto, Tonada, Cacharpaya",0.547
Coplas,0.44
Cueca,0.6892439024390244
Cullaguada,0.6205
Danza Aymara,0.581
Diablada,0.456
Huayño,0.6037857142857143
Huayño cacharpaya,0.598
Huayño kalampeado,0.5245
Huayño phuna,0.626
Kaluyo,0.52025
Llamerada,0.628
Macheteros,0.642
Morenada,0.6816363636363636
Pasacalle,0.5535
Polca,0.5336666666666667
Pujllay,0.824
Salaque Jalk´a,0.709
Salay,0.6234999999999999
Saya afroboliviana,0.828
Sicuri,0.425
Taki taki,0.691
Taquirari,0.6073
Tinku,0.7015
Tobas,0.755
Tonada,0.6075
Tonada Huayño,0.41
Vals,0.596
