Ritmo,valencia_2,sentimiento_score,danzabilidad
Atico,0.8164556962025322,0.8,0.685
Bailecito,0.35021097046413496,-0.13333333333333333,0.5433333333333333
Brincao,0.42088607594936733,NA,0.89
Cancion,-0.7468354430379748,-0.8181818181818182,0.518
Caporal,0.5533106134371957,0.14585137085137082,0.6856153846153846
Carnaval,0.427215189873418,1,0.614
Carnavalito,0.9731012658227849,-0.2828282828282828,0.657
Chacarera,0.6455696202531649,0.3684210526315789,0.517
Chovena,0.591772151898734,1,0.787
Chovena mojeña,0.873417721518988,0.3333333333333333,0.758
Chuntunqui,-0.37816455696202533,-0.061587340534708955,0.6191666666666666
"Contrapunto, Tonada, Cacharpaya",0.044303797468354666,-0.2,0.547
Coplas,0.4351265822784811,-0.15625,0.44
Cueca,0.22799528996173124,0.11108049157584761,0.6902093023255814
Cullaguada,0.32515822784810156,-0.03630952380952379,0.6205
Danza Aymara,0.04746835443038,0,0.581
Diablada,0.7183544303797469,-0.125,0.456
Huayño,0.21476793248945159,0.025295684301895487,0.6119333333333333
Huayño cacharpaya,-0.7721518987341773,-0.3076923076923077,0.598
Huayño kalampeado,0.5221518987341773,-0.39999999999999997,0.5245
Huayño phuna,-0.332278481012658,1,0.626
Kaluyo,0.04936708860759498,-0.2836545910230121,0.5342
Llamerada,0.14873417721518978,-0.3333333333333333,0.628
Macheteros,0.8512658227848102,0.29411764705882354,0.642
Morenada,0.390678941311853,0.11210324589771228,0.6816363636363636
Pasacalle,0.17246835443038,-0.10606060606060605,0.5535
Polca,0.41244725738396637,-0.2626262626262626,0.5336666666666667
Pujllay,-0.6329113924050633,-0.2,0.824
Salaque Jalk´a,0.9778481012658231,1,0.709
Salay,0.4857594936708862,-0.22115384615384615,0.6234999999999999
Saya afroboliviana,0.9588607594936711,1,0.828
Sicuri,0.3291139240506331,0.2,0.425
Taki taki,1,0.7142857142857143,0.691
Taquirari,0.37311633514165155,0.17290062849838247,0.6088571428571429
Tinku,0.516726943942134,0.37296918767507004,0.7015
Tobas,-0.6107594936708862,-0.10769230769230767,0.755
Tonada,-0.10443037974683533,0.3875,0.6075
Tonada Huayño,-1,0.17647058823529413,0.41
Vals,-0.40506329113924044,-0.3333333333333333,0.596
