Ritmo,sentimiento_score
Atico,-0.42857142857142855
Bailecito,0.2510822510822511
Brincao,0.29411764705882354
Cancion,0.17647058823529413
Caporal,-0.04485251590514747
Carnaval,0.14285714285714285
Carnavalito,0.20772946859903382
Chacarera,NA
Chovena,-1
Chovena mojeña,-0.5
Chuntunqui,-0.14250912486206604
"Contrapunto, Tonada, Cacharpaya",-0.7647058823529411
Coplas,0.3846153846153846
Cueca,0.09697941643430366
Cullaguada,0.44696969696969696
Danza Aymara,0
Diablada,0.5
Huayño,0.19444691997098829
Huayño cacharpaya,-0.42857142857142855
Huayño kalampeado,0.17142857142857143
Huayño phuna,0.1111111111111111
Kaluyo,-0.24520407129102773
Llamerada,-0.5555555555555556
Macheteros,0.3333333333333333
Morenada,0.17893217893217894
Pasacalle,0.2032967032967033
Polca,0.23232323232323232
Pujllay,0.38461538461538464
Salaque Jalk´a,1
Salay,0.13333333333333333
Saya afroboliviana,-0.6
Sicuri,-0.2
Taki taki,1
Taquirari,0.2426640825634634
Tinku,0.14248414492775394
Tobas,0.4375
Tonada,-0.34613997113997114
Tonada Huayño,-0.7142857142857143
Vals,0.4
