Ritmo,valencia,valencia_2
Atico,0.913,0.8164556962025322
Bailecito,0.7656666666666666,0.35021097046413496
Brincao,0.788,0.42088607594936733
Cancion,0.419,-0.7468354430379748
Caporal,0.8298461538461538,0.5533106134371957
Carnaval,0.79,0.427215189873418
Carnavalito,0.9624999999999999,0.9731012658227849
Chacarera,0.859,0.6455696202531649
Chovena,0.842,0.591772151898734
Chovena mojeña,0.931,0.873417721518988
Chuntunqui,0.5355,-0.37816455696202533
"Contrapunto, Tonada, Cacharpaya",0.669,0.044303797468354666
Coplas,0.7925,0.4351265822784811
Cueca,0.7264146341463414,0.22599567767829587
Cullaguada,0.75775,0.32515822784810156
Danza Aymara,0.67,0.04746835443038
Diablada,0.882,0.7183544303797469
Huayño,0.7176428571428571,0.1982368896925859
Huayño cacharpaya,0.411,-0.7721518987341773
Huayño kalampeado,0.82,0.5221518987341773
Huayño phuna,0.55,-0.332278481012658
Kaluyo,0.64325,-0.037183544303797444
Llamerada,0.702,0.14873417721518978
Macheteros,0.924,0.8512658227848102
Morenada,0.7784545454545455,0.390678941311853
Pasacalle,0.7095,0.17246835443038
Polca,0.7853333333333333,0.41244725738396637
Pujllay,0.455,-0.6329113924050633
Salaque Jalk´a,0.964,0.9778481012658231
Salay,0.8085,0.4857594936708862
Saya afroboliviana,0.958,0.9588607594936711
Sicuri,0.759,0.3291139240506331
Taki taki,0.971,1
Taquirari,0.77605,0.3830696202531647
Tinku,0.8182857142857143,0.516726943942134
Tobas,0.46199999999999997,-0.6107594936708862
Tonada,0.622,-0.10443037974683533
Tonada Huayño,0.339,-1
Vals,0.527,-0.40506329113924044
